id_from;id_to;travel_time
96;88;15.5
96;1842;3.7
97;68693;8.2
97;1805;26.9
98;29856;6.6
99;60792;1.7
99;2135;12.0
100;1837;8.1
100;4154;8.4
101;2114;8.9
101;1666;12.6
102;101;6.6
102;1250;35.4
103;8870;4.5
103;238;23.5
104;4157;5.5
104;2693;2.0
105;2694;6.2
105;272;18.6
105;642;9.8
106;2134;2.0
106;2135;2.7
106;2133;14.9
107;1829;5.4
108;2133;0.3
108;111;0.6
108;2698;2.6
109;68729;2.0
109;110;1.9
110;68729;0.9
110;2098;167.0
111;108;0.6
111;62390;14.4
112;59362;5.0
113;40738;4.9
113;1259;19.3
114;19303;5.7
114;126;7.5
115;114;5.2
115;1663;21.7
116;115;4.7
116;1132;21.9
117;116;5.1
117;129;14.5
118;59363;0.7
118;120;1.6
119;117;4.8
119;130;14.2
120;641;3.8
120;21450;9.6
121;119;6.6
121;1664;21.8
122;42367;3.4
122;53774;14.3
122;132;9.6
123;1323;14.4
123;4062;5.0
124;133;13.9
124;122;5.2
125;113;14.5
125;53153;6.4
126;128;5.2
126;21472;5.0
127;197;7.3
127;57;9.9
128;1131;4.9
128;115;14.2
129;1133;25.9
129;130;5.1
130;131;6.4
130;1134;26.1
131;121;14.4
131;132;6.5
132;133;5.4
132;42358;7.5
132;122;9.6
133;42359;11.0
133;198;7.4
134;40474;0.9
134;40475;2.4
135;49068;1.5
135;53300;2.2
136;25511;1.5
136;25513;10.4
137;661;2.2
137;21480;19.7
138;139;7.7
139;40475;2.6
139;134;1.9
140;21486;3.4
140;141;11.0
141;41397;16.0
141;209;6.1
142;20393;18.8
143;42153;3.9
143;21398;7.8
144;41647;11.9
145;867;2.0
145;860;12.5
146;147;19.8
146;20773;3.5
146;418;4.2
147;40639;9.1
147;40639;15.1
148;166;7.4
149;24277;6.9
149;150;3.2
150;156;16.0
151;153;9.5
151;10816;4.2
152;41314;1.4
153;154;3.9
154;150;6.6
154;155;8.3
155;8696;3.8
156;24159;11.4
156;157;18.9
157;24158;6.0
158;24068;36.0
159;1391;15.4
159;160;75.5
160;827;25.0
160;44531;5.1
161;158;18.3
161;24064;21.7
162;59050;30.3
163;1340;24.1
163;1339;12.7
164;165;2.2
164;18941;5.1
165;168;6.6
166;167;2.3
168;170;23.3
168;169;6.4
169;24156;8.2
170;41774;13.7
171;24067;38.9
172;162;69.4
173;1048;17.4
173;1050;10.5
174;8666;5.2
174;64976;6.0
175;18642;83.6
176;67925;8.4
176;175;8.3
177;179;57.6
177;179;33.3
177;178;10.9
178;177;10.9
179;180;25.7
179;177;33.3
179;177;57.6
180;179;25.7
180;176;14.0
181;59512;1.1
182;25537;85.5
183;62381;2.1
183;28174;2.1
184;28171;4.4
184;185;14.8
185;1742;1.2
185;1815;11.5
185;184;14.8
186;1810;24.9
186;1820;3.6
187;189;4.3
187;29602;15.6
188;29603;3.7
188;20738;6.5
189;190;9.7
189;20780;9.8
190;68856;12.0
191;200;4.6
191;127;12.1
192;209;9.9
192;41400;7.3
193;52318;12.9
193;701;4.6
194;874;16.2
195;136;15.8
196;41400;16.6
196;49408;4.0
197;200;13.7
197;124;4.9
198;197;9.5
198;57;7.5
199;50396;8.4
199;49068;1.3
200;40512;2.9
201;50454;2.3
201;25702;0.9
202;64943;0.5
203;69065;12.1
204;205;8.2
205;1758;12.8
205;1314;11.3
205;18984;4.7
206;207;15.7
206;201;7.6
206;25703;39.7
207;668;4.1
208;990;11.8
208;1752;7.4
209;142;8.7
210;202;10.4
210;211;4.6
211;212;4.8
211;64943;18.2
211;25698;4.3
212;204;20.9
213;214;23.0
213;2696;2.8
214;18458;6.0
214;59409;23.0
215;62150;37.5
215;220;5.7
216;62166;6.8
216;275;17.1
216;225;16.6
217;103;11.2
218;270;18.8
218;2096;3.0
219;40617;2.4
220;237;43.7
220;268;8.6
221;12109;1.4
221;266;46.7
222;2094;5.5
223;245;12.3
223;581;11.7
224;2065;14.1
224;2073;1.0
225;274;8.7
225;226;14.5
226;271;3.1
227;215;41.9
227;230;1.7
228;60928;6.6
228;20881;9.0
229;230;25.5
229;239;9.9
230;213;3.0
231;573;4.3
232;233;6.2
233;566;12.6
233;580;4.3
234;55636;5.7
234;2092;4.0
235;266;1.7
236;268;30.7
236;237;7.7
237;227;5.8
237;239;27.1
238;68812;0.1
238;68811;7.6
239;263;9.3
239;240;25.0
240;228;10.1
241;68811;0.4
241;68812;7.5
242;247;1.7
242;40493;2.0
243;20872;4.8
244;278;3.4
244;564;7.8
245;2088;14.1
245;68748;1.0
246;568;21.4
246;49069;12.1
247;25551;1.8
248;249;4.5
248;47792;6.7
249;40493;19.7
250;25529;30.3
250;43358;19.8
251;20745;6.4
251;412;3.2
252;43359;1.6
253;254;7.0
254;257;10.5
254;259;12.5
255;41898;5.9
255;231;7.2
256;2079;1.1
257;256;1.5
257;41893;1.6
258;259;15.6
259;260;1.6
259;258;15.6
259;41896;13.7
260;41894;6.4
261;41895;2.0
261;569;10.7
262;261;5.3
263;236;28.3
263;264;9.3
264;246;18.1
264;265;10.0
265;584;26.0
265;235;9.8
266;236;5.7
267;240;7.9
267;263;23.8
268;221;6.4
269;222;47.3
269;235;3.4
270;4156;14.0
271;104;17.4
271;272;33.4
272;105;18.6
272;273;7.5
273;2062;188.1
273;59358;23.4
273;272;7.5
274;284;11.6
274;275;14.4
275;216;17.1
275;219;31.0
276;241;12.5
277;19301;3.6
278;2692;3.2
279;281;21.3
279;998;14.4
280;2002;17.5
280;282;14.1
281;365;8.2
281;243;2.8
282;362;16.3
282;2132;17.7
283;1149;1.9
284;274;11.6
285;9615;31.1
285;424;9.3
286;358;14.8
286;45607;15.8
287;8449;31.4
288;289;18.5
289;290;13.3
289;162;33.4
290;61955;35.3
290;42626;5.8
291;292;38.9
291;26354;5.3
292;68785;16.3
293;26355;6.0
293;50824;58.9
294;23114;7.5
294;481;18.5
295;11658;40.4
296;69170;1.2
297;66820;27.0
298;25168;7.5
298;42737;5.7
299;51095;108.8
299;21222;4.6
300;46836;6.8
300;46838;6.6
300;55263;4.6
300;55256;2.9
301;63644;0.4
301;767;5.7
302;63809;4.1
302;36398;14.8
303;35082;16.1
303;50717;38.8
304;14634;10.4
304;39419;31.2
305;47926;5.6
305;11657;5.7
306;55077;4.1
307;478;13.5
307;479;16.2
308;309;52.6
309;310;30.5
310;311;40.5
311;26358;5.3
311;24274;38.3
312;68536;24.1
312;68536;16.1
313;1827;0.4
313;1809;42.6
313;1825;5.2
314;29478;5.1
315;42739;65.4
316;29868;27.0
316;41951;87.9
317;318;30.6
317;319;19.1
318;29868;4.8
318;35100;18.5
318;319;27.6
319;303;7.3
320;321;16.3
320;326;20.1
321;15664;10.6
322;323;17.1
322;324;21.5
323;324;16.0
323;321;6.9
323;15970;2.8
324;46716;53.1
325;326;15.2
325;323;6.7
326;15994;16.4
327;39299;11.6
328;39297;13.5
328;57886;22.4
329;15965;1.6
330;329;22.7
330;327;33.8
331;328;5.5
331;333;5.5
332;56400;23.4
332;334;34.1
333;39443;4.4
334;60234;4.5
335;331;1.0
336;52271;7.9
336;339;17.4
337;338;4.9
337;66817;9.6
338;14752;1.8
338;14612;6.5
339;39284;23.7
340;16860;3.7
340;341;6.9
341;39303;25.3
342;343;7.8
342;13250;18.1
343;48342;11.2
344;13253;12.2
344;66659;6.5
345;15491;15.2
345;13329;8.3
345;13330;8.9
345;65613;27.7
346;13329;9.0
346;39401;12.3
347;46466;57.2
347;55231;47.9
348;54467;45.8
349;54463;31.3
350;28160;4.1
351;352;5.7
351;354;8.2
352;42120;19.4
353;352;2.1
353;354;9.4
354;21226;45.9
355;768;13.2
355;21228;17.5
356;29476;33.8
356;288;42.9
357;60543;8.3
357;40884;9.8
358;68637;4.5
359;49350;31.7
360;361;14.8
360;161;27.4
361;359;15.7
361;314;18.0
362;42085;8.5
362;367;21.5
363;20876;3.3
364;279;12.0
364;365;21.6
365;366;8.0
366;367;7.1
366;363;21.6
367;280;11.0
368;553;6.8
368;5434;2.1
369;2574;3.0
369;629;4.8
370;371;2.8
370;60618;11.8
371;53204;1.7
372;373;14.9
372;2570;28.1
373;21394;2.6
374;2690;8.1
374;375;7.1
375;385;52.2
376;29838;60.3
377;1196;45.5
378;43953;17.4
379;377;5.2
379;1190;7.0
380;381;60.9
381;376;4.0
381;1178;6.8
382;1174;31.6
383;1661;36.5
384;1658;3.9
384;1660;3.2
385;42504;52.7
386;385;8.2
386;383;10.9
387;42374;1.6
387;1315;9.8
388;63193;0.5
389;29967;5.6
389;24446;147.1
390;391;6.9
391;636;3.7
391;2105;2.6
392;42374;1.1
392;393;1.1
393;387;0.9
393;18554;5.9
394;138;4.6
394;661;4.0
395;404;13.9
395;62261;4.1
396;18999;4.1
396;403;15.8
397;18996;5.3
397;608;6.5
398;540;1.5
398;400;9.5
399;59413;3.7
399;59414;2.8
400;692;6.6
400;405;9.2
401;402;8.3
401;397;11.2
402;18998;2.3
402;40484;5.5
403;42086;6.8
403;8868;6.6
404;1249;2.4
405;538;2.0
405;546;13.4
406;690;8.1
406;401;11.3
407;406;13.5
407;622;9.0
408;679;7.8
408;41579;3.9
409;25493;14.6
409;25485;8.7
410;25486;11.8
410;411;10.5
411;410;10.5
412;20739;1.4
412;20744;2.7
413;21489;14.9
413;21207;2.8
413;21205;6.2
414;21202;3.2
414;20772;20.3
414;415;3.8
415;20772;13.1
415;416;4.2
415;414;3.8
416;417;4.1
416;415;4.2
417;20769;20.8
417;418;4.3
417;416;4.1
418;146;4.2
418;417;4.3
419;18394;5.7
419;38716;21.8
420;65666;6.3
420;25453;10.7
421;21497;0.3
421;865;10.8
421;788;9.9
422;864;15.5
422;868;11.1
422;40511;37.6
422;788;8.7
423;65451;1.4
423;424;4.4
424;53768;12.6
425;62037;0.9
425;426;2.7
426;427;8.3
427;429;3.3
427;29931;2.3
428;1257;0.9
428;21498;0.8
429;29931;3.9
429;20358;60.8
430;56760;21.6
431;432;39.3
432;25592;1.4
433;434;4.4
433;20395;8.6
434;436;5.2
434;435;10.7
435;63744;11.8
435;29596;8.1
436;20394;6.1
437;64253;10.1
437;18401;5.8
438;64653;0.7
438;64448;18.9
439;29599;92.6
440;41382;7.1
440;9619;8.1
441;310;8.0
441;10829;52.9
442;8821;0.8
442;8784;29.0
443;61843;0.2
443;60432;9.7
444;8779;24.7
444;61961;36.9
445;8742;32.2
445;8705;6.2
446;8707;5.7
446;8769;12.9
447;44989;14.4
448;48501;14.6
448;449;6.8
449;37137;6.3
450;24209;3.3
450;24215;2.7
451;452;14.8
452;29911;10.4
452;54838;9.0
453;7715;6.2
453;7717;3.8
454;508;14.9
454;506;29.0
455;66379;1.7
456;441;2.0
456;10060;8.0
457;5888;12.4
457;52208;6.7
458;5882;11.0
458;52208;12.1
459;902;18.8
460;910;2.1
460;52206;3.1
461;18306;6.6
461;30125;6.2
462;938;5.9
462;48795;11.7
463;48806;11.6
463;928;4.6
464;30455;7.5
464;29976;13.3
465;18303;8.4
466;897;5.2
466;53459;18.0
467;42349;5.4
467;42348;11.2
468;469;19.5
469;53556;33.6
469;56513;19.1
470;471;5.5
471;5453;7.4
471;306;6.8
472;473;2.8
472;23071;18.6
473;307;9.5
474;477;82.1
474;23069;6.7
475;50833;3.3
475;4813;4.0
476;5314;4.6
476;477;6.0
477;295;2.9
478;480;4.6
478;60132;4.7
478;5715;4.8
479;60131;3.3
480;23154;1.9
480;478;4.6
480;65964;4.9
481;474;7.0
482;25345;3.7
482;48626;12.9
483;37291;8.8
483;37287;10.5
484;55985;21.0
484;37280;5.8
485;49502;2.7
485;1387;11.4
486;61841;11.0
486;46181;3.3
487;24155;17.7
488;22788;37.6
489;68803;3.1
489;292;10.5
490;66531;2.0
491;492;8.9
492;523;25.3
492;502;11.5
493;65086;3.5
493;50826;16.7
494;60059;9.0
494;488;6.1
495;496;1.1
495;39498;43.9
495;39506;6.0
496;497;12.9
496;61064;2.3
497;498;1.7
497;20359;1.9
498;20363;6.5
499;5540;10.0
499;20360;6.6
500;68802;28.4
500;491;11.0
501;502;30.8
501;522;12.9
502;50825;34.5
503;506;16.3
503;41320;16.1
504;503;22.0
505;10070;18.1
505;508;34.4
506;455;1.7
507;43095;7.9
508;509;25.6
509;491;14.5
509;507;22.6
510;504;11.8
510;26357;4.5
511;512;3.0
512;454;9.4
513;514;2.5
513;512;12.0
514;65989;2.2
515;518;1.3
516;517;2.9
516;515;3.2
517;514;3.0
518;511;4.9
518;519;13.2
519;10770;20.3
520;10781;1.6
520;7505;1.6
521;516;12.5
521;519;3.2
522;504;29.5
522;523;8.1
523;510;10.7
524;536;17.3
525;40458;11.2
525;40458;18.8
526;500;2.8
526;527;4.3
527;37516;2.4
527;37515;2.2
528;68801;9.7
528;41376;15.8
529;45125;8.1
529;37521;7.0
530;531;14.3
531;532;14.7
532;60890;6.7
532;531;14.7
533;532;13.5
534;69315;3.7
534;533;17.1
535;524;8.1
535;37536;3.0
536;537;7.8
537;59073;17.6
537;59072;7.5
538;539;9.2
539;400;1.5
539;540;9.5
540;20797;17.4
541;20317;21.7
541;2578;1.7
542;1856;2.7
542;543;17.6
543;1948;6.1
543;56341;10.3
544;609;24.1
544;545;5.9
545;398;5.2
546;20322;3.4
546;685;3.5
547;687;7.7
547;548;8.0
548;549;6.0
549;2579;2.0
549;1749;5.3
550;1755;5.1
551;1757;1.2
551;1761;5.7
552;69032;0.4
552;1765;5.6
553;542;2.8
554;648;4.4
554;42618;18.6
555;383;8.7
555;42459;7.6
556;557;12.6
557;647;2.3
557;558;12.0
558;693;20.9
558;559;4.5
559;42612;2.6
559;560;22.0
560;68874;2.7
560;29840;4.5
561;374;5.9
562;563;10.2
563;278;6.1
563;564;5.7
564;1731;3.8
565;41903;4.6
565;41902;4.7
566;579;8.2
566;565;21.3
567;233;20.4
567;570;18.6
568;567;11.8
568;20753;7.0
569;572;6.7
569;574;13.5
570;569;8.6
570;262;11.7
571;20324;3.3
571;567;31.4
572;231;12.6
572;575;19.8
573;232;2.4
573;570;19.6
574;569;13.5
575;576;1.8
575;255;3.3
576;2043;4.1
577;41904;2.9
577;41901;0.8
578;232;13.1
578;566;11.9
579;583;14.9
580;579;12.6
580;2090;3.9
581;41903;4.7
582;583;11.2
582;2087;0.7
582;2086;1.5
582;245;10.8
583;581;13.7
583;582;11.2
584;571;4.9
584;20326;11.7
585;18558;2.8
586;19460;2.0
586;2047;16.8
586;17877;6.8
587;589;2.5
587;590;9.8
588;585;3.4
588;60711;10.1
589;587;2.5
589;440;5.9
590;2058;19.0
590;2059;2.4
591;592;7.6
591;1672;24.7
592;1673;16.8
593;799;16.1
593;798;15.6
594;595;7.8
594;2054;29.6
595;44524;12.6
596;597;4.8
596;1034;39.3
597;2060;19.0
598;665;5.4
598;1765;6.0
599;551;6.4
599;600;8.1
600;667;14.4
600;1754;6.4
601;1751;10.7
601;44985;4.6
602;18987;8.5
602;603;6.1
603;604;7.0
603;670;7.5
604;674;11.4
604;605;7.2
605;689;9.8
605;683;7.3
606;658;13.2
606;607;11.6
607;622;22.9
607;406;8.1
608;709;10.4
608;609;6.4
609;623;13.4
609;610;7.1
610;624;13.5
610;611;3.5
611;612;5.4
612;1949;12.5
613;18972;7.3
613;614;7.1
614;615;7.1
614;1908;11.7
615;1909;12.5
615;18460;11.4
615;1855;6.7
616;69031;15.2
616;598;6.8
617;673;13.4
617;630;7.1
618;656;10.2
618;617;4.8
619;18986;9.7
619;618;10.6
620;657;13.5
620;619;10.2
621;38575;20.9
621;680;10.6
621;620;7.4
622;621;7.0
623;653;16.6
623;18459;6.1
624;652;15.1
624;623;7.1
625;1912;5.4
625;624;7.2
626;1912;7.6
627;1950;7.8
628;1910;13.4
628;627;7.9
629;1857;7.2
629;1854;19.1
630;60354;9.0
630;41405;3.3
631;59410;1.5
631;1060;5.7
632;633;5.9
632;633;50.5
633;631;2.0
634;1318;3.1
634;635;3.2
635;42500;10.4
635;1318;1.7
636;637;5.0
637;638;9.7
638;56487;3.1
638;21461;11.6
639;21450;2.9
639;118;10.6
640;50395;8.6
640;660;4.3
641;40491;14.0
641;4063;4.8
642;2107;6.3
642;556;1.9
643;1254;8.2
644;40644;24.5
644;42840;7.5
645;2147;7.2
645;2142;20.3
646;43218;5.3
646;555;8.4
647;42503;1.1
647;644;4.8
648;1251;7.4
649;42617;2.2
650;651;9.5
651;625;13.5
651;19216;7.0
651;652;9.5
652;653;9.0
652;19215;6.4
653;654;7.8
654;18459;18.4
654;396;8.8
655;24547;0.4
656;59586;4.5
657;606;14.2
658;682;10.5
658;546;9.8
659;59760;9.0
660;29965;0.7
660;392;7.6
661;144;1.5
661;138;3.4
662;78;32.1
662;664;7.2
663;76;42.3
663;73;10.7
664;1167;36.2
664;663;9.3
665;1768;5.3
665;668;6.8
666;1766;6.7
666;665;6.0
667;990;27.9
667;1756;7.9
668;616;5.4
669;671;7.8
669;630;9.3
670;1750;12.2
670;549;5.5
671;672;3.3
671;18988;3.1
672;617;14.2
673;604;13.9
673;689;12.2
674;670;13.8
674;548;10.2
675;676;11.6
675;5432;6.2
676;20319;3.4
676;5427;7.6
677;5430;8.3
677;678;15.9
678;2578;7.4
678;67758;5.2
679;407;6.8
680;681;14.5
681;679;19.2
681;622;11.4
682;687;11.8
682;683;13.4
683;684;13.3
683;606;7.0
684;619;13.2
684;657;17.2
685;682;10.3
685;547;3.9
686;60354;11.7
686;41405;15.7
687;688;1.5
688;674;16.4
688;605;7.2
689;684;18.1
689;618;8.7
690;658;35.8
690;405;9.5
691;692;22.1
691;398;6.4
692;690;21.9
692;401;7.0
693;103;9.8
693;270;20.4
694;9553;2.6
694;38579;23.8
695;9545;3.6
695;9551;14.4
696;697;7.1
697;1777;78.8
697;38577;8.0
698;699;3.8
699;700;2.2
699;18336;19.3
700;705;4.4
700;43357;6.1
701;20800;5.2
701;42489;11.9
702;20783;2.8
702;20786;15.5
703;252;1.9
703;704;1.9
704;705;2.9
705;708;3.5
706;43229;0.7
706;56729;6.4
707;20748;4.1
708;20742;2.0
708;698;2.6
709;18996;12.7
709;545;14.2
710;610;24.2
710;544;6.5
711;55062;3.3
711;45080;16.6
712;43852;51.8
712;2301;36.2
712;43887;13.3
713;44851;4.6
713;714;7.1
714;715;22.3
714;44851;6.3
715;49083;1.5
715;714;22.3
716;715;2.5
717;49082;1.6
717;50725;4.3
718;56339;153.2
718;2293;14.7
719;2295;9.2
719;45013;4.0
720;42047;6.6
720;42047;5.2
721;42045;10.4
722;57233;2.4
723;62547;2.2
723;42056;3.1
724;53832;15.9
725;2462;3.2
725;722;5.1
726;42048;1.4
726;53819;2.9
727;24579;2.1
727;24599;51.1
727;42050;1.0
728;726;4.1
728;726;2.9
729;49998;14.6
729;24562;7.5
729;24650;11.2
730;53835;2.3
730;50022;4.3
730;50021;12.4
731;53840;1.0
731;53836;25.8
731;64664;1.8
732;53854;1.8
732;53820;20.9
732;51144;3.6
733;16270;0.7
733;50327;49.4
733;53859;36.7
734;50303;11.5
734;53881;4.4
734;50331;12.1
735;50303;1.9
735;50318;5.8
735;736;2.7
736;50304;4.4
736;50305;6.6
736;735;2.7
737;63836;3.2
737;25215;5.2
737;40418;5.9
738;38266;9.1
738;739;11.7
739;38256;11.8
739;25281;4.5
740;46279;3.3
740;49868;8.8
741;24593;6.6
742;53808;8.2
742;743;3.3
743;744;2.9
743;53808;3.6
744;53807;3.0
744;53810;0.8
745;26464;5.8
745;41100;14.5
746;752;3.8
747;69240;1.7
747;41010;7.0
748;19129;28.1
748;41034;9.2
749;25085;18.9
749;41068;11.5
750;26830;12.9
750;18263;3.1
751;46963;24.0
751;46781;5.1
751;46782;4.5
752;46954;6.5
752;41971;0.4
752;761;5.3
753;47699;2.6
754;46927;5.2
754;46919;4.1
755;54254;32.3
755;46856;33.9
756;42107;12.0
756;757;7.8
757;758;1.6
757;42108;6.2
758;42100;2.7
758;759;7.6
758;46899;15.9
759;760;0.4
760;42111;44.5
760;757;4.7
761;753;0.3
762;754;5.1
762;46936;3.1
762;29607;16.8
763;29613;7.2
763;47703;2.2
763;47709;20.2
764;21220;2.2
764;766;3.8
765;55259;18.5
765;764;3.5
766;301;5.5
766;767;4.7
766;46883;15.2
767;21227;1.5
767;21225;3.0
768;769;14.4
768;770;7.6
769;54038;6.3
769;770;17.6
770;21221;7.9
771;774;2.2
771;772;1.9
772;755;3.1
773;63977;0.9
773;54253;32.1
774;57157;4.5
775;54372;2.0
775;776;20.7
775;21385;13.2
776;775;20.7
776;21385;10.2
776;777;45.9
777;29175;6.4
777;29189;25.8
777;776;45.9
778;29192;3.1
778;29190;16.4
779;29006;17.9
779;29000;8.9
779;29022;19.5
779;29031;15.2
780;29036;11.1
780;29033;7.7
780;29027;7.2
781;49146;3.5
782;783;7.3
782;21211;3.3
783;62348;1.1
783;784;41.5
784;40629;4.4
784;40631;17.4
785;21314;6.1
785;21266;11.1
785;21272;5.4
786;21496;16.1
786;791;34.1
787;25509;7.0
787;60708;9.7
788;789;14.6
788;421;9.9
788;422;8.7
789;21496;19.0
789;790;35.0
790;19227;9.4
790;795;7.7
790;19239;10.8
791;20755;6.6
791;24187;11.5
791;786;34.1
792;20758;0.8
792;38684;6.7
792;38685;4.8
793;24168;4.3
793;24180;34.1
793;24194;14.6
794;24162;6.8
794;24186;13.9
794;24182;20.6
795;786;16.9
796;798;27.5
796;50559;57.0
797;9548;24.1
798;1004;7.7
799;800;4.5
799;1005;5.7
800;797;25.2
801;20426;4.3
801;42506;11.6
802;803;30.7
802;29977;7.0
803;30994;32.9
804;805;15.1
804;19486;36.4
805;806;21.4
806;813;43.2
807;29464;7.8
807;9517;18.5
808;809;8.2
809;3160;29.4
810;811;9.5
811;40704;9.2
811;7193;14.1
812;38489;38.0
812;38489;37.1
813;815;176.6
814;19484;63.7
814;10251;18.0
815;29466;36.7
815;38488;27.5
816;29979;81.3
817;818;47.7
818;41888;12.8
818;41889;5.1
819;50872;5.6
819;44600;47.9
820;65246;22.9
820;50801;17.1
821;40702;25.4
822;40687;12.9
822;18511;16.9
823;40678;10.2
823;40693;34.8
824;825;10.2
825;835;16.5
825;68576;4.4
826;833;9.8
826;834;7.6
827;40689;5.4
828;64793;23.8
828;49440;34.8
829;828;4.0
830;837;6.0
831;25396;4.7
831;25392;5.6
832;46829;4.2
832;836;18.3
833;9611;4.4
835;60946;61.6
836;68537;2.0
836;68576;9.5
837;843;21.3
837;29460;12.2
838;48632;25.7
839;25382;6.8
839;841;8.7
840;831;4.2
841;838;19.1
841;844;12.7
842;844;8.5
842;843;18.5
843;838;13.1
844;29460;22.5
845;846;4.0
845;848;13.4
846;65506;6.1
847;848;6.4
847;846;13.2
848;45303;2.9
849;65596;0.8
849;48824;14.8
850;30157;12.5
850;927;11.5
851;852;12.0
852;30200;9.1
852;853;11.8
853;849;16.2
854;194;5.3
854;855;3.1
855;53613;3.6
856;854;3.3
856;54514;16.1
857;53613;1.7
857;858;10.3
858;859;2.7
858;860;6.3
859;194;1.6
859;855;8.8
860;145;12.5
860;859;3.8
861;60708;10.4
861;864;2.4
862;64815;2.4
862;64814;0.9
863;145;3.2
863;867;2.1
864;60707;15.3
865;866;3.8
866;862;9.7
866;61038;10.1
867;418;14.8
868;861;1.5
868;195;7.8
869;872;1.5
869;870;9.2
870;787;6.7
871;870;1.0
871;872;9.3
872;64814;6.5
873;20773;1.7
873;862;12.0
873;61038;4.7
874;871;4.2
874;25510;2.1
875;29479;9.2
876;41365;5.8
877;851;16.0
878;48821;14.9
879;65254;4.2
879;29933;2.5
880;52205;12.9
880;29598;10.3
881;18455;8.4
882;886;4.9
883;30131;3.1
884;905;2.7
884;42348;2.2
885;468;5.7
885;2525;10.7
886;38585;2.2
886;45085;5.8
887;888;0.9
888;38583;2.6
888;38496;21.7
889;53456;9.3
890;882;10.7
890;38585;13.5
891;25679;4.2
892;893;4.9
892;41394;25.1
893;38495;18.8
894;465;5.1
894;43321;11.0
895;896;7.2
895;30121;7.3
896;18309;13.8
897;42420;8.5
898;42410;3.0
898;901;4.6
899;30128;10.5
899;68243;4.9
900;43320;5.0
900;899;4.5
901;30123;3.6
902;903;7.6
902;41296;19.8
903;2523;5.3
904;49116;10.3
905;53723;2.8
905;40930;4.1
906;52209;1.1
906;52209;5.5
907;45984;4.4
907;908;5.1
908;29598;8.3
909;467;4.7
909;29474;2.9
910;911;8.5
910;43322;19.9
911;30126;4.4
912;913;7.4
912;68235;11.1
913;53463;11.6
914;43322;3.8
914;30125;11.3
915;30130;1.3
916;59040;1.6
916;44853;3.5
917;48795;3.6
917;48797;2.8
918;30294;3.3
919;920;2.6
919;44744;7.4
920;44749;2.3
921;48801;4.4
921;48802;2.6
922;64843;5.6
923;972;4.1
923;48753;1.2
924;48805;2.0
924;987;3.4
925;926;4.8
925;53733;43.8
926;41282;45.7
927;30025;30.0
