id_from;id_to;travel_length
138;139;155.16
139;40475;41.85
139;134;38.08
140;21486;55.41
140;141;221.86
141;41397;202.31
141;209;122.8
142;20393;380.53
143;42153;33.57
143;21398;158.07
144;41647;231.09
145;867;24.73
145;860;157.83
146;147;168.13
146;20773;59.13
146;418;70.81
147;40639;77.46
147;40639;128.77
148;166;123.36
149;24277;134.16
149;150;76.89
150;156;384.15
151;153;229.29
151;10816;69.87
152;41314;23.43
153;154;65.63
154;150;109.66
154;155;138.91
155;8696;73.31
156;24159;275.09
156;157;316.53
157;24158;117.31
158;24068;899.74
159;1391;256.17
159;160;1888.15
160;827;418.24
160;44531;126.66
161;158;456.49
161;24064;363.43
162;59050;756.79
163;1340;401.67
163;1339;318.19
164;165;37.62
164;18941;49.62
165;168;133.32
166;167;45.5
168;170;470.24
168;169;106.51
169;24156;196.68
170;41774;267.13
171;24067;971.26
172;162;1734.39
173;1048;290.76
173;1050;262.48
174;8666;66.31
174;64976;51.0
175;18642;710.99
176;67925;71.08
176;175;70.75
177;179;489.89
177;179;282.64
177;178;92.92
178;177;92.92
179;180;218.71
179;177;282.64
179;177;489.89
180;179;218.71
180;176;118.71
181;59512;26.32
182;25537;2138.58
183;62381;26.68
183;28174;22.82
184;28171;55.04
184;185;187.5
185;1742;9.96
185;1815;127.98
185;184;187.5
186;1810;276.86
186;1820;39.98
187;189;86.67
187;29602;315.55
188;29603;74.75
188;20738;81.85
189;190;158.82
189;20780;197.78
190;68856;152.12
191;200;93.71
191;127;152.97
192;209;162.52
192;41400;119.55
193;52318;250.33
193;701;75.57
194;874;326.3
195;136;307.88
196;41400;276.29
196;49408;51.18
197;200;173.65
197;124;78.81
198;197;120.08
198;57;125.61
199;50396;169.29
199;49068;16.11
200;40512;59.45
201;50454;45.98
201;25702;15.19
202;64943;9.46
203;69065;244.3
204;205;137.48
205;1758;108.44
205;1314;96.13
205;18984;78.55
206;207;316.15
206;201;152.73
206;25703;242.77
207;668;83.68
208;990;100.58
208;1752;62.71
209;142;176.13
210;202;168.6
210;211;73.46
211;212;40.44
211;64943;154.93
211;25698;68.67
212;204;177.9
213;214;195.14
213;2696;46.74
214;18458;75.22
214;59409;195.38
215;62150;318.58
215;220;92.64
216;62166;58.13
216;275;145.19
216;225;141.36
217;103;180.02
218;270;160.16
218;2096;48.38
219;40617;39.52
220;237;371.09
220;268;139.45
221;12109;22.42
221;266;397.14
222;2094;88.91
223;245;155.3
223;581;189.24
224;2065;120.26
224;2073;15.66
225;274;73.87
225;226;122.98
226;271;26.65
227;215;356.41
227;230;27.74
228;60928;83.39
228;20881;76.82
229;230;216.73
229;239;124.85
230;213;49.95
231;573;72.42
232;233;103.49
233;566;106.72
233;580;71.17
234;55636;72.52
234;2092;67.2
235;266;28.06
236;268;388.51
236;237;128.81
237;227;96.64
237;239;230.01
238;68812;1.92
238;68811;95.61
239;263;117.18
239;240;212.86
240;228;127.84
241;68811;5.39
241;68812;94.85
242;247;21.26
242;40493;25.22
243;20872;40.7
244;278;28.78
244;564;66.35
245;2088;178.8
245;68748;6.13
246;568;270.95
246;49069;153.31
247;25551;22.45
248;249;57.03
248;47792;57.17
249;40493;248.8
250;25529;257.34
250;43358;319.45
251;20745;80.62
251;412;52.02
252;43359;25.86
253;254;112.82
254;257;169.82
254;259;158.28
255;41898;50.41
255;231;120.09
256;2079;18.22
257;256;18.46
257;41893;26.5
258;259;133.0
259;260;19.76
259;258;133.0
259;41896;173.07
260;41894;81.5
261;41895;25.77
261;569;90.89
262;261;67.27
263;236;240.42
263;264;117.96
264;246;228.4
264;265;126.06
265;584;221.04
265;235;123.9
266;236;94.38
267;240;99.67
267;263;201.93
268;221;103.87
269;222;401.63
269;235;57.2
270;4156;119.09
271;104;148.18
271;272;283.74
272;105;157.71
272;273;63.98
273;2062;1599.26
273;59358;198.64
273;272;63.98
274;284;98.94
274;275;122.12
275;216;145.19
275;219;263.8
276;241;158.57
277;19301;45.56
278;2692;27.34
279;281;180.7
279;998;122.58
280;2002;148.44
280;282;177.79
281;365;103.04
281;243;23.46
282;362;138.54
282;2132;224.01
283;1149;39.04
284;274;98.94
285;9615;628.71
285;424;187.23
286;358;299.03
286;45607;264.44
287;8449;611.01
288;289;462.43
289;290;331.41
289;162;557.04
290;61955;883.31
290;42626;96.38
291;292;972.7
291;26354;102.23
292;68785;407.61
293;26355;116.75
293;50824;1472.22
294;23114;125.04
294;481;463.24
295;11658;1010.86
296;69170;30.82
297;66820;675.68
298;25168;95.38
298;42737;142.95
299;51095;1375.11
299;21222;115.8
300;46836;57.53
300;46838;83.77
300;55263;57.95
300;55256;24.92
301;63644;4.5
301;767;71.86
302;63809;102.5
302;36398;125.73
303;35082;136.71
303;50717;969.24
304;14634;169.68
304;39419;781.25
305;47926;93.67
305;11657;143.41
306;55077;101.58
307;478;226.29
307;479;404.96
308;309;1315.77
309;310;762.27
310;311;1013.64
311;26358;89.38
311;24274;957.56
312;68536;403.82
312;68536;401.29
313;1827;4.93
313;1809;361.9
313;1825;58.13
314;29478;103.74
315;42739;1634.86
316;29868;450.28
316;41951;2198.28
317;318;254.94
317;319;477.97
318;29868;77.15
318;35100;299.0
318;319;230.4
319;303;182.53
320;321;267.16
320;326;501.65
321;15664;163.85
322;323;280.65
322;324;538.68
323;324;262.46
323;321;106.01
323;15970;45.34
324;46716;1328.52
325;326;249.47
325;323;104.3
326;15994;409.84
327;39299;289.71
328;39297;221.18
328;57886;190.45
329;15965;24.41
330;329;372.28
330;327;845.59
331;328;89.68
331;333;85.11
332;56400;383.43
332;334;853.73
333;39443;68.15
334;60234;113.53
335;331;15.68
336;52271;129.6
336;339;436.12
337;338;62.45
337;66817;81.49
338;14752;22.23
338;14612;82.47
339;39284;591.29
340;16860;46.8
340;341;113.59
341;39303;633.68
342;343;127.64
342;13250;452.35
343;48342;155.8
344;13253;154.5
344;66659;55.0
345;15491;192.1
345;13329;105.44
345;13330;113.08
345;65613;235.27
346;13329;147.09
346;39401;306.31
347;46466;1154.43
347;55231;407.33
348;54467;925.08
349;54463;513.69
350;28160;101.46
351;352;116.07
351;354;205.12
352;42120;391.45
353;352;35.06
353;354;157.44
354;21226;1148.57
355;768;167.27
355;21228;437.83
356;29476;563.19
356;288;894.09
357;60543;134.12
357;40884;189.6
358;68637;112.76
359;49350;528.9
360;361;369.97
360;161;684.87
361;359;261.05
361;314;451.18
362;42085;71.84
362;367;182.34
363;20876;27.94
364;279;102.42
364;365;183.64
365;366;101.04
366;367;89.95
366;363;183.44
367;280;139.53
368;553;138.1
368;5434;35.53
369;2574;60.98
369;629;80.31
370;371;57.14
370;60618;130.84
371;53204;32.2
372;373;165.67
372;2570;234.41
373;21394;28.64
374;2690;132.6
374;375;138.64
375;385;1014.25
376;29838;1507.73
377;1196;947.96
378;43953;434.46
379;377;129.46
379;1190;173.8
380;381;1521.51
381;376;100.2
381;1178;169.68
382;1174;614.98
383;1661;709.31
384;1658;59.94
384;1660;65.15
385;42504;1025.6
386;385;159.86
386;383;211.97
387;42374;31.61
387;1315;158.56
388;63193;9.96
389;29967;90.98
389;24446;2859.74
390;391;134.76
391;636;60.04
391;2105;52.45
392;42374;17.49
392;393;21.74
393;387;14.36
393;18554;114.42
394;138;76.1
394;661;80.84
395;404;115.99
395;62261;66.89
396;18999;66.13
396;403;200.23
397;18996;84.74
397;608;107.76
398;540;24.63
398;400;185.21
399;59413;31.31
399;59414;35.62
400;692;106.43
400;405;177.99
401;402;134.47
401;397;186.87
402;18998;37.62
402;40484;91.87
403;42086;86.57
403;8868;106.41
404;1249;39.14
405;538;24.86
405;546;260.6
406;690;102.03
406;401;189.01
407;406;170.73
407;622;150.02
408;679;98.92
408;41579;48.83
409;25493;183.97
409;25485;169.14
410;25486;189.89
410;411;89.24
411;410;89.24
412;20739;21.91
412;20744;45.02
413;21489;126.26
413;21207;46.0
413;21205;103.39
414;21202;53.7
414;20772;172.24
414;415;63.27
415;20772;111.3
415;416;70.46
415;414;63.27
416;417;68.56
416;415;70.46
417;20769;176.86
417;418;72.29
417;416;68.56
418;146;70.81
418;417;72.29
419;18394;93.94
419;38716;362.73
420;65666;139.17
420;25453;177.64
421;21497;4.22
421;865;91.42
421;788;165.24
422;864;131.45
422;868;140.87
422;40511;626.15
422;788;144.42
423;65451;27.76
423;424;72.44
424;53768;254.7
425;62037;18.54
425;426;41.4
426;427;128.24
427;429;50.48
427;29931;34.36
428;1257;17.3
428;21498;17.16
429;29931;60.91
429;20358;1012.92
430;56760;334.68
431;432;873.49
432;25592;23.47
433;434;72.52
433;20395;140.52
434;436;85.08
434;435;177.76
435;63744;164.4
435;29596;180.43
436;20394;136.46
437;64253;85.82
437;18401;95.87
438;64653;10.39
438;64448;420.99
439;29599;1869.74
440;41382;104.76
440;9619;125.85
441;310;133.08
441;10829;1028.9
442;8821;16.17
442;8784;246.44
443;61843;4.22
443;60432;162.94
444;8779;210.3
444;61961;716.83
445;8742;273.92
445;8705;120.52
446;8707;111.79
446;8769;109.67
447;44989;279.86
448;48501;235.16
448;449;132.32
449;37137;123.31
450;24209;63.57
450;24215;43.47
451;452;299.51
452;29911;167.36
452;54838;200.11
453;7715;121.2
453;7717;47.76
454;508;243.75
454;506;564.33
455;66379;33.78
456;441;38.37
456;10060;123.12
457;5888;191.94
457;52208;111.34
458;5882;170.95
458;52208;303.24
459;902;379.7
460;910;46.04
460;52206;33.03
461;18306;147.65
461;30125;102.11
462;938;96.84
462;48795;259.52
463;48806;234.84
463;928;75.83
464;30455;123.34
464;29976;295.97
465;18303;186.4
466;897;85.11
466;53459;400.69
467;42349;87.89
467;42348;247.79
468;469;394.34
469;53556;746.32
469;56513;312.86
470;471;107.72
471;5453;143.57
471;306;112.9
472;473;54.75
472;23071;158.1
473;307;237.09
474;477;2051.26
474;23069;129.91
475;50833;64.62
475;4813;64.64
476;5314;70.81
476;477;99.59
477;295;71.41
478;480;71.08
478;60132;77.79
478;5715;74.71
479;60131;82.28
480;23154;31.82
480;478;71.08
480;65964;79.62
481;474;174.82
482;25345;46.19
482;48626;251.42
483;37291;74.72
483;37287;204.72
484;55985;178.19
484;37280;112.96
485;49502;37.05
485;1387;221.09
486;61841;213.21
486;46181;41.31
487;24155;343.36
488;22788;941.13
489;68803;59.54
489;292;175.79
490;66531;38.28
491;492;173.93
492;523;415.44
492;502;224.22
493;65086;68.57
493;50826;142.3
494;60059;181.68
494;488;118.43
495;496;22.88
495;39498;372.82
495;39506;51.17
496;497;259.97
496;61064;38.09
497;498;33.43
497;20359;37.74
498;20363;131.6
499;5540;195.38
499;20360;107.85
500;68802;473.32
500;491;213.2
501;502;514.32
501;522;216.35
502;50825;671.75
503;506;272.93
503;41320;134.5
504;503;368.58
505;10070;279.58
505;508;574.8
506;455;32.59
507;43095;219.06
508;509;428.68
509;491;236.82
509;507;377.98
510;504;192.8
510;26357;73.38
511;512;49.33
512;454;182.47
513;514;41.68
513;512;233.31
514;65989;33.38
515;518;20.09
516;517;44.42
516;515;47.01
517;514;47.14
518;511;80.05
518;519;166.22
519;10770;256.6
520;10781;13.26
520;7505;17.43
521;516;192.91
521;519;40.98
522;504;493.97
522;523;132.78
523;510;175.28
524;536;479.24
525;40458;311.17
525;40458;315.07
526;500;54.5
526;527;87.4
527;37516;47.81
527;37515;36.14
528;68801;195.29
528;41376;134.28
529;45125;135.12
529;37521;142.3
530;531;238.55
531;532;355.08
532;60890;112.01
532;531;355.08
533;532;225.78
534;69315;74.61
534;533;286.45
535;524;135.6
535;37536;61.34
536;537;216.9
537;59073;355.54
537;59072;209.51
538;539;178.06
539;400;24.57
539;540;183.86
540;20797;338.36
541;20317;421.3
541;2578;33.77
542;1856;22.73
542;543;341.49
543;1948;119.48
543;56341;85.82
544;609;201.06
544;545;114.85
545;398;100.47
546;20322;27.96
546;685;68.43
547;687;97.87
547;548;155.65
548;549;116.55
549;2579;24.87
549;1749;103.26
550;1755;99.03
551;1757;19.92
551;1761;109.87
552;69032;7.19
552;1765;91.13
553;542;54.79
554;648;65.61
554;42618;287.45
555;383;135.25
555;42459;117.45
556;557;194.71
557;647;29.66
557;558;185.98
558;693;177.42
558;559;70.22
559;42612;42.03
559;560;340.65
560;68874;40.43
560;29840;69.68
561;374;114.44
562;563;113.58
563;278;51.86
563;564;63.52
564;1731;48.06
565;41903;38.7
565;41902;39.9
566;579;70.07
566;565;180.7
567;233;173.02
567;570;157.81
568;567;99.9
568;20753;88.19
569;572;56.62
569;574;114.62
570;569;72.71
570;262;99.05
571;20324;42.32
571;567;267.26
572;231;107.43
572;575;167.96
573;232;40.28
573;570;166.5
574;569;114.62
575;576;15.57
575;255;54.01
576;2043;65.53
577;41904;24.37
577;41901;13.4
578;232;111.01
578;566;101.16
579;583;126.94
580;579;106.74
580;2090;64.19
581;41903;76.27
582;583;95.17
582;2087;5.66
582;2086;12.79
582;245;91.88
583;581;116.32
583;582;95.17
584;571;61.78
584;20326;99.52
585;18558;43.05
586;19460;31.64
586;2047;260.12
586;17877;109.4
587;589;36.49
587;590;151.0
588;585;49.8
588;60711;156.26
589;587;36.49
589;440;91.08
590;2058;293.83
590;2059;35.91
591;592;112.67
591;1672;382.14
592;1673;271.89
593;799;260.06
593;798;252.16
594;595;115.61
594;2054;457.95
595;44524;203.24
596;597;71.76
596;1034;633.69
597;2060;294.26
598;665;110.02
598;1765;100.79
599;551;107.27
599;600;134.43
600;667;122.15
600;1754;107.16
601;1751;90.96
601;44985;76.29
602;18987;70.47
602;603;101.84
603;604;117.22
603;670;94.52
604;674;94.74
604;605;120.07
605;689;123.44
605;683;121.17
606;658;109.69
606;607;192.97
607;622;191.01
607;406;135.63
608;709;86.73
608;609;105.87
609;623;112.05
609;610;118.37
610;624;112.91
610;611;58.97
611;612;90.14
612;1949;207.62
613;18972;60.88
613;614;118.09
614;615;117.6
614;1908;97.71
615;1909;104.06
615;18460;95.33
615;1855;111.94
616;69031;307.1
616;598;113.83
617;673;111.81
617;630;118.17
618;656;128.95
618;617;80.78
619;18986;80.68
619;618;176.49
620;657;112.67
620;619;170.41
621;38575;174.32
621;680;88.66
621;620;123.27
622;621;116.1
623;653;138.38
623;18459;100.89
624;652;125.7
624;623;118.76
625;1912;45.24
625;624;119.72
626;1912;63.21
627;1950;130.11
628;1910;112.07
628;627;131.93
629;1857;120.36
629;1854;159.11
630;60354;114.19
630;41405;55.14
631;59410;12.45
631;1060;71.6
632;633;49.12
632;633;420.82
633;631;16.98
634;1318;49.73
634;635;51.05
635;42500;167.74
635;1318;21.91
636;637;101.93
637;638;196.03
638;56487;26.59
638;21461;235.02
639;21450;25.0
639;118;213.94
640;50395;73.21
640;660;87.42
641;40491;118.95
641;4063;80.5
642;2107;101.09
642;556;30.28
643;1254;126.47
644;40644;379.33
644;42840;116.57
645;2147;110.92
645;2142;172.35
646;43218;81.29
646;555;129.78
647;42503;14.46
647;644;74.51
648;1251;114.34
649;42617;33.84
650;651;119.93
651;625;112.29
651;19216;58.4
651;652;120.44
652;653;114.06
652;19215;53.24
653;654;98.24
654;18459;153.16
654;396;111.85
655;24547;7.29
656;59586;57.5
657;606;118.48
658;682;87.48
658;546;82.02
659;59760;75.22
660;29965;14.32
660;392;148.68
661;144;29.3
661;138;69.33
662;78;273.04
662;664;91.28
663;76;359.59
663;73;135.59
664;1167;307.6
664;663;117.67
665;1768;107.18
665;668;113.86
666;1766;108.44
666;665;100.16
667;990;236.86
667;1756;131.19
668;616;108.86
669;671;66.26
669;630;117.67
670;1750;101.51
670;549;69.9
671;672;27.75
671;18988;33.29
672;617;118.33
673;604;116.24
673;689;101.52
674;670;115.32
674;548;84.85
675;676;146.31
675;5432;51.67
676;20319;28.31
676;5427;146.86
677;5430;68.96
677;678;309.14
678;2578;93.99
678;67758;100.83
679;407;86.21
680;681;121.1
681;679;160.3
681;622;94.78
682;687;98.16
682;683;111.97
683;684;110.8
683;606;116.16
684;619;110.02
684;657;143.25
685;682;85.76
685;547;75.81
686;60354;97.89
686;41405;131.18
687;688;18.7
688;674;136.29
688;605;91.46
689;684;150.58
689;618;110.23
690;658;298.67
690;405;119.78
691;692;184.48
691;398;103.33
692;690;182.25
692;401;112.19
693;103;158.2
693;270;173.74
694;9553;41.27
694;38579;396.42
695;9545;53.4
695;9551;223.53
696;697;138.83
697;1777;1533.19
697;38577;68.03
698;699;74.52
699;700;42.61
699;18336;163.95
700;705;47.06
700;43357;117.75
701;20800;101.53
701;42489;240.94
702;20783;54.05
702;20786;131.64
703;252;24.39
703;704;36.16
704;705;56.89
705;708;67.2
706;43229;14.2
706;56729;54.74
707;20748;80.07
708;20742;38.74
708;698;27.51
709;18996;105.88
709;545;118.27
710;610;201.34
710;544;125.64
711;55062;54.67
711;45080;368.16
712;43852;654.88
712;2301;457.06
712;43887;113.29
713;44851;75.04
713;714;116.64
714;715;359.38
714;44851;101.78
715;49083;23.42
715;714;359.38
716;715;39.84
717;49082;26.49
717;50725;45.23
718;56339;1936.37
718;2293;186.17
719;2295;116.69
719;45013;50.01
720;42047;107.78
720;42047;104.18
721;42045;209.18
722;57233;48.55
723;62547;36.12
723;42056;62.38
724;53832;321.52
725;2462;52.13
725;722;103.91
726;42048;22.96
726;53819;57.56
727;24579;26.88
727;24599;434.14
727;42050;20.23
728;726;66.99
728;726;59.12
729;49998;184.91
729;24562;95.23
729;24650;95.23
730;53835;29.27
730;50022;53.99
730;50021;156.12
731;53840;12.39
731;53836;219.54
731;64664;22.2
732;53854;22.62
732;53820;177.76
732;51144;45.9
733;16270;8.25
733;50327;624.82
733;53859;311.58
734;50303;145.35
734;53881;55.94
734;50331;103.15
735;50303;23.89
735;50318;49.34
735;736;33.66
736;50304;37.57
736;50305;83.52
736;735;33.66
737;63836;40.9
737;25215;43.92
737;40418;75.06
738;38266;77.42
738;739;236.78
739;38256;100.48
739;25281;91.16
740;46279;27.71
740;49868;178.36
741;24593;133.12
742;53808;69.87
742;743;67.42
743;744;58.55
743;53808;30.42
744;53807;25.22
744;53810;15.79
745;26464;64.81
745;41100;122.84
746;752;76.28
747;69240;14.08
747;41010;77.63
748;19129;238.54
748;41034;102.05
749;25085;160.74
749;41068;127.91
750;26830;109.31
750;18263;63.57
751;46963;302.85
751;46781;64.69
751;46782;56.94
752;46954;55.15
752;41971;8.27
752;761;107.93
753;47699;51.71
754;46927;66.02
754;46919;83.46
755;54254;274.74
755;46856;685.21
756;42107;102.3
756;757;158.25
757;758;31.98
757;42108;78.51
758;42100;53.98
758;759;64.53
758;46899;134.9
759;760;8.66
760;42111;742.09
760;757;58.82
761;753;6.1
762;754;64.32
762;46936;62.5
762;29607;212.44
763;29613;61.29
763;47703;44.72
763;47709;171.54
764;21220;27.42
764;766;41.19
765;55259;233.52
765;764;43.83
766;301;70.09
766;767;50.84
766;46883;129.42
767;21227;18.37
767;21225;32.16
768;769;182.02
768;770;96.57
769;54038;105.44
769;770;222.15
770;21221;100.44
771;774;37.36
771;772;30.53
772;755;62.93
773;63977;17.6
773;54253;272.54
774;57157;74.74
775;54372;16.9
775;776;175.98
775;21385;166.55
776;775;175.98
776;21385;128.77
776;777;390.44
777;29175;54.63
777;29189;219.43
777;776;390.44
778;29192;26.73
778;29190;139.82
779;29006;151.81
779;29000;98.9
779;29022;165.93
779;29031;129.53
780;29036;94.52
780;29033;65.52
780;29027;60.83
781;49146;44.49
782;783;92.71
782;21211;42.02
783;62348;11.33
783;784;524.46
784;40629;55.55
784;40631;219.97
785;21314;51.9
785;21266;94.45
785;21272;45.66
786;21496;178.71
786;791;378.9
787;25509;136.11
787;60708;82.4
788;789;124.13
788;421;165.24
788;422;144.42
789;21496;161.39
789;790;297.66
790;19227;80.04
790;795;65.27
790;19239;91.6
791;20755;73.34
791;24187;98.12
791;786;378.9
792;20758;8.85
792;38684;57.21
792;38685;53.8
793;24168;48.24
793;24180;289.6
793;24194;161.92
794;24162;57.86
794;24186;154.88
794;24182;228.84
795;786;143.8
796;798;406.56
796;50559;881.35
797;9548;373.64
798;1004;124.48
799;800;66.02
799;1005;92.15
800;797;373.02
801;20426;86.41
801;42506;193.84
802;803;681.47
802;29977;116.94
803;30994;913.8
804;805;419.47
804;19486;608.5
805;806;595.14
806;813;1200.81
807;29464;217.03
807;9517;309.5
808;809;227.6
809;3160;816.94
810;811;262.7
811;40704;255.27
811;7193;235.64
812;38489;316.92
812;38489;308.77
813;815;3924.82
814;19484;1768.26
814;10251;301.64
815;29466;306.2
815;38488;228.78
816;29979;1807.68
817;818;1059.56
818;41888;284.14
818;41889;112.43
819;50872;94.43
819;44600;1065.07
820;65246;635.28
820;50801;286.67
821;40702;706.71
822;40687;359.41
822;18511;282.17
823;40678;171.27
823;40693;967.18
824;825;282.34
825;835;275.48
825;68576;123.32
826;833;273.07
826;834;126.5
827;40689;119.04
828;64793;397.54
828;49440;676.44
829;828;99.25
830;837;132.99
831;25396;129.46
831;25392;70.55
832;46829;69.66
832;836;355.29
833;9611;121.3
835;60946;1197.93
836;68537;37.92
836;68576;158.41
837;843;236.12
837;29460;270.7
838;48632;499.46
839;25382;114.16
839;841;144.95
840;831;116.56
841;838;317.88
841;844;140.85
842;844;94.55
842;843;205.07
843;838;145.04
844;29460;249.9
845;846;88.52
845;848;215.74
846;65506;136.22
847;848;141.19
847;846;140.59
848;45303;46.69
849;65596;16.45
849;48824;246.7
850;30157;243.49
850;927;188.06
851;852;200.0
852;30200;202.31
852;853;196.47
853;849;270.35
854;194;106.92
854;855;39.56
855;53613;44.91
856;854;41.39
856;54514;325.11
857;53613;14.72
857;858;130.73
858;859;34.59
858;860;79.54
859;194;20.48
859;855;111.56
860;145;157.83
860;859;48.21
861;60708;130.91
861;864;20.02
862;64815;20.26
862;64814;7.7
863;145;40.37
863;867;22.83
864;60707;129.71
865;866;32.39
866;862;82.04
866;61038;85.63
867;418;186.5
868;861;19.36
868;195;98.05
869;872;18.72
869;870;78.37
870;787;134.5
871;870;20.18
871;872;78.79
872;64814;81.78
873;20773;28.17
873;862;101.63
873;61038;79.09
874;871;84.47
874;25510;17.58
875;29479;205.48
876;41365;129.22
877;851;266.48
878;48821;247.51
879;65254;35.96
879;29933;48.43
880;52205;251.36
880;29598;109.16
881;18455;163.59
882;886;94.59
883;30131;60.23
884;905;52.85
884;42348;23.1
885;468;93.9
885;2525;207.7
886;38585;35.73
886;45085;113.56
887;888;18.36
888;38583;49.89
888;38496;422.89
889;53456;206.45
890;882;174.6
890;38585;299.47
891;25679;81.59
892;893;80.53
892;41394;557.57
893;38495;365.46
894;465;83.17
894;43321;213.96
895;896;118.31
895;30121;142.14
896;18309;305.94
897;42420;165.92
898;42410;32.36
898;901;90.28
899;30128;203.49
899;68243;68.52
900;43320;53.38
900;899;87.82
901;30123;70.16
902;903;124.34
902;41296;439.54
903;2523;102.97
904;49116;200.19
905;53723;55.03
905;40930;51.51
906;52209;21.26
906;52209;46.78
907;45984;85.99
907;908;83.67
908;29598;183.92
909;467;103.36
909;29474;31.32
910;911;139.65
910;43322;442.03
911;30126;85.74
912;913;121.15
912;68235;216.45
913;53463;257.78
914;43322;40.52
914;30125;219.29
915;30130;24.93
916;59040;30.94
916;44853;29.38
917;48795;37.87
917;48797;54.75
918;30294;64.62
919;920;49.75
919;44744;78.92
920;44749;45.06
921;48801;47.06
921;48802;50.38
922;64843;108.14
923;972;67.95
923;48753;23.92
924;48805;32.91
924;987;65.98
