id;y;x
65;-22.9848306;-43.2142818
66;-22.9860003;-43.214351
67;-22.9237464;-43.1775684
68;-22.9249087;-43.179602
69;-22.9240681;-43.181524
70;-22.9313717;-43.1776357
71;-22.9297715;-43.1775398
72;-22.9282845;-43.1770447
73;-22.9245337;-43.1768568
74;-22.921972;-43.1770849
75;-22.9235834;-43.1774062
76;-22.9254609;-43.173093
77;-22.9259998;-43.1793536
78;-22.9268376;-43.1793384
79;-22.9253226;-43.1785296
80;-22.9313921;-43.1793504
81;-22.931292;-43.1776393
82;-22.9282924;-43.1793004
83;-22.9288376;-43.1772102
84;-22.9317361;-43.1824145
85;-22.9328757;-43.1788834
86;-22.9306733;-43.1791682
87;-22.9323715;-43.1821993
88;-22.9322175;-43.1817718
89;-22.9329565;-43.1772773
90;-22.9324718;-43.1775474
91;-22.9327673;-43.177876
92;-22.9350312;-43.1751189
93;-22.9322863;-43.1775589
94;-22.9311577;-43.1759642
95;-22.9300225;-43.1758047
96;-22.9333241;-43.1813083
97;-22.9333906;-43.185601
98;-22.9354116;-43.186531
99;-22.9345609;-43.1876096
100;-22.9357909;-43.18405
101;-22.9360435;-43.1806593
102;-22.9355446;-43.1811269
103;-22.9492898;-43.1842331
104;-22.9460827;-43.1841789
105;-22.9438391;-43.1837239
106;-22.9353301;-43.1889644
107;-22.9367231;-43.1879687
108;-22.9364267;-43.1900857
109;-22.9356266;-43.1937844
110;-22.9357685;-43.1938053
111;-22.9364851;-43.1901128
112;-22.9873999;-43.2286786
113;-22.9858984;-43.2246683
114;-22.9854371;-43.2228537
115;-22.9852622;-43.2220614
116;-22.9851306;-43.221332
117;-22.9850207;-43.22053
118;-22.986614;-43.2295096
119;-22.9849177;-43.2197774
120;-22.9865109;-43.229276
121;-22.984838;-43.2187329
122;-22.9847658;-43.2176326
123;-22.9856331;-43.2273073
124;-22.9847306;-43.2168151
125;-22.9848391;-43.2250261
126;-22.984383;-43.2231212
127;-22.9847879;-43.2148949
128;-22.9842034;-43.2223029
129;-22.9839226;-43.220712
130;-22.9838357;-43.2198918
131;-22.9837428;-43.2188514
132;-22.983686;-43.2177933
133;-22.9836725;-43.2169198
134;-22.9788079;-43.2180228
135;-22.9804124;-43.2149148
136;-22.9704649;-43.2175608
137;-22.9762544;-43.2190311
138;-22.9772565;-43.2188711
139;-22.9785054;-43.2181951
140;-22.9746075;-43.2008007
141;-22.976284;-43.1996279
142;-22.9786247;-43.1998641
143;-22.9805075;-43.2065704
144;-22.9764221;-43.2188642
145;-22.9638418;-43.2144233
146;-22.9630254;-43.2163414
147;-22.9619768;-43.2175245
148;-22.8118533;-43.2880553
149;-22.8168474;-43.2878293
150;-22.8174856;-43.287755
151;-22.8165824;-43.2892526
152;-22.8179414;-43.2886715
153;-22.8179382;-43.2880512
154;-22.8178242;-43.2874231
155;-22.8181894;-43.2861708
156;-22.8155198;-43.2885146
157;-22.8160912;-43.2881687
158;-22.8986324;-43.2186357
159;-22.8433679;-43.2395454
160;-22.8595832;-43.2377497
161;-22.8947071;-43.219794
162;-22.8826161;-43.2295642
163;-22.8651673;-43.2334252
164;-22.8108568;-43.2885763
165;-22.8111727;-43.2884449
166;-22.8107585;-43.2882496
167;-22.8103609;-43.2883545
168;-22.8123451;-43.2881728
169;-22.8132514;-43.2878374
170;-22.8151427;-43.2904243
171;-22.9059674;-43.2136002
172;-22.8951518;-43.219509
173;-22.9142042;-43.2100486
174;-22.9248401;-43.2087082
175;-22.9317125;-43.2086331
176;-22.9323474;-43.2086778
177;-22.9356525;-43.2127448
178;-22.9359407;-43.2135918
179;-22.9345301;-43.2106351
180;-22.9332524;-43.2092369
181;-22.9346445;-43.2097946
182;-22.9397683;-43.2025096
183;-22.9396876;-43.2023424
184;-22.9399126;-43.201576
185;-22.9402605;-43.1997925
186;-22.9404942;-43.1979959
187;-22.9614927;-43.2041154
188;-22.9632722;-43.2038413
189;-22.9621893;-43.2044951
190;-22.9618177;-43.2051877
191;-22.9861173;-43.2151677
192;-22.9771016;-43.1984286
193;-22.9667396;-43.203553
194;-22.9632172;-43.2127196
195;-22.9676965;-43.2175118
196;-22.9766991;-43.1948539
197;-22.9847168;-43.2160456
198;-22.9836806;-43.2157181
199;-22.9803248;-43.2145445
200;-22.9862208;-43.2160762
201;-22.9874147;-43.1959704
202;-22.9868499;-43.1978878
203;-22.986139;-43.2135827
204;-22.9847169;-43.1951544
205;-22.9839146;-43.1941326
206;-22.9878797;-43.1945812
207;-22.9871372;-43.1916004
208;-22.9818428;-43.1947614
209;-22.9772769;-43.1991246
210;-22.9864479;-43.1963002
211;-22.9859699;-43.1967956
212;-22.9857245;-43.1965041
213;-22.9523754;-43.1870226
214;-22.9538221;-43.1859437
215;-22.9495847;-43.1888451
216;-22.9460008;-43.1882134
217;-22.9490962;-43.1824898
218;-22.949431;-43.1857683
219;-22.9495131;-43.1873672
220;-22.9497525;-43.1897309
221;-22.9503028;-43.1920302
222;-22.9505497;-43.1928556
223;-22.9511706;-43.1941814
224;-22.9525759;-43.1963715
225;-22.9462002;-43.18685
226;-22.9463664;-43.1856626
227;-22.9526218;-43.1877325
228;-22.956291;-43.1860295
229;-22.9543812;-43.1867851
230;-22.9525391;-43.1874769
231;-22.9559812;-43.1972329
232;-22.9556275;-43.1962014
233;-22.9552819;-43.1952629
234;-22.9544286;-43.1928771
235;-22.9537331;-43.1909085
236;-22.9533408;-43.1897912
237;-22.9529279;-43.1886158
238;-22.9513416;-43.1841649
239;-22.9548813;-43.1878768
240;-22.9566913;-43.1872
241;-22.9521557;-43.1839095
242;-22.9580779;-43.1914191
243;-22.9558916;-43.1850468
244;-22.9522945;-43.1824554
245;-22.9524822;-43.1936603
246;-22.9567082;-43.1919461
247;-22.958265;-43.1913766
248;-22.9606469;-43.1905898
249;-22.9601369;-43.190618
250;-22.9586623;-43.2000103
251;-22.9602284;-43.2040149
252;-22.9602627;-43.2032556
253;-22.959462;-43.2010185
254;-22.958967;-43.2000617
255;-22.9563592;-43.1983265
256;-22.9576144;-43.199257
257;-22.9577143;-43.199113
258;-22.9597526;-43.1980129
259;-22.9586714;-43.1985684
260;-22.9585093;-43.1986475
261;-22.9581977;-43.1965994
262;-22.9580741;-43.1959562
263;-22.9553432;-43.1889055
264;-22.9557989;-43.1899459
265;-22.9547571;-43.1904314
266;-22.9536416;-43.1906531
267;-22.9570056;-43.1881116
268;-22.9500463;-43.1910548
269;-22.953915;-43.1914311
270;-22.9479966;-43.185908
271;-22.9461292;-43.1856251
272;-22.943602;-43.1852421
273;-22.9435476;-43.1858635
274;-22.9468568;-43.1869598
275;-22.9472334;-43.1880801
276;-22.951515;-43.1825274
277;-22.9507625;-43.1815436
278;-22.9521473;-43.1822242
279;-22.9575586;-43.1842111
280;-22.9544151;-43.181121
281;-22.9560822;-43.1849486
282;-22.9558466;-43.1803508
283;-22.9560872;-43.1777876
284;-22.9477381;-43.1870929
285;-22.8975335;-43.2117528
286;-22.8900547;-43.2157626
287;-22.8886286;-43.2217485
288;-22.8886853;-43.2223017
289;-22.8857361;-43.2254612
290;-22.885143;-43.2283312
291;-22.8173357;-43.2866599
292;-22.8142539;-43.2953368
293;-22.8198092;-43.3136107
294;-22.8354793;-43.3617905
295;-22.8495029;-43.3840001
296;-22.8628879;-43.4136691
297;-22.856416;-43.4762705
298;-22.8806453;-43.6322213
299;-22.8954772;-43.6817898
300;-22.90572;-43.6926713
301;-22.9092077;-43.69384
302;-22.8838877;-43.642825
303;-22.8628212;-43.5601205
304;-22.8551705;-43.4841
305;-22.8535824;-43.3944578
306;-22.8487163;-43.3828472
307;-22.8376778;-43.3650408
308;-22.8213445;-43.3229461
309;-22.8195336;-43.3104122
310;-22.8163382;-43.3039024
311;-22.8145246;-43.2942599
312;-22.8641471;-43.2479985
313;-22.9386363;-43.193811
314;-22.8910575;-43.2170686
315;-22.8699389;-43.5995637
316;-22.8626617;-43.5600655
317;-22.8643634;-43.5663459
318;-22.864005;-43.5639198
319;-22.8632512;-43.5618398
320;-22.8615573;-43.5437358
321;-22.8619648;-43.54129
322;-22.8611674;-43.5385021
323;-22.8610189;-43.5412326
324;-22.8614289;-43.5437519
325;-22.8619487;-43.5411222
326;-22.8613037;-43.5388476
327;-22.8592992;-43.5037632
328;-22.8603904;-43.50666
329;-22.860752;-43.5081915
330;-22.8607241;-43.5118045
331;-22.8606418;-43.50749
332;-22.8591028;-43.5037847
333;-22.8599888;-43.5076894
334;-22.8605783;-43.5118903
335;-22.8607459;-43.5075933
336;-22.8563132;-43.4945396
337;-22.8561381;-43.492911
338;-22.8559713;-43.492329
339;-22.8552755;-43.4904394
340;-22.8559404;-43.4947483
341;-22.8565261;-43.4956549
342;-22.8591115;-43.4611735
343;-22.8586934;-43.4623318
344;-22.8585475;-43.4668469
345;-22.8603587;-43.4527707
346;-22.8606277;-43.4536153
347;-22.8948652;-43.6800206
348;-22.8799482;-43.7289118
349;-22.8798739;-43.728879
350;-22.8944446;-43.6784819
351;-22.8944356;-43.6771222
352;-22.8949835;-43.676344
353;-22.8949924;-43.6761166
354;-22.893838;-43.675228
355;-22.8925609;-43.6724643
356;-22.8847691;-43.2168319
357;-22.8865252;-43.2303348
358;-22.8888058;-43.218167
359;-22.8888101;-43.2183494
360;-22.8897524;-43.2237647
361;-22.8897639;-43.2205602
362;-22.9564097;-43.1815492
363;-22.9567931;-43.1824077
364;-22.9571754;-43.1833015
365;-22.9556728;-43.1840458
366;-22.9552917;-43.18315
367;-22.9549474;-43.182355
368;-22.9640217;-43.1742012
369;-22.9614477;-43.1756057
370;-22.9516334;-43.1752598
371;-22.9511316;-43.1753542
372;-22.9527424;-43.172843
373;-22.9533533;-43.1713706
374;-22.949471;-43.1795532
375;-22.9488733;-43.1806977
376;-22.9363977;-43.1724613
377;-22.9187592;-43.1741727
378;-22.9120813;-43.1721014
379;-22.9190236;-43.1745429
380;-22.9234703;-43.171243
381;-22.9366751;-43.1729677
382;-22.9394589;-43.1704813
383;-22.9423821;-43.1790715
384;-22.9489911;-43.1808408
385;-22.9430049;-43.1774228
386;-22.9426823;-43.1771037
387;-22.9780869;-43.2247136
388;-22.978449;-43.2268369
389;-22.9789108;-43.2288792
390;-22.9789777;-43.2283524
391;-22.9786579;-43.2270827
392;-22.9782539;-43.2248934
393;-22.9782134;-43.2246856
394;-22.9771411;-43.2195798
395;-22.9655383;-43.1885374
396;-22.9671348;-43.1861913
397;-22.9691333;-43.1846193
398;-22.97066;-43.1833839
399;-22.9647885;-43.1930135
400;-22.9718123;-43.1846901
401;-22.9702488;-43.1859845
402;-22.9692945;-43.1867913
403;-22.9680225;-43.1878929
404;-22.9662508;-43.1893649
405;-22.9730201;-43.1858311
406;-22.9714995;-43.1872333
407;-22.9703073;-43.188284
408;-22.9690208;-43.1894318
409;-22.8851838;-43.227725
410;-22.8888085;-43.2228469
411;-22.889156;-43.2220646
412;-22.9603236;-43.2045122
413;-22.9605003;-43.2060429
414;-22.961352;-43.2136139
415;-22.9614681;-43.2142181
416;-22.9617209;-43.2148491
417;-22.9620815;-43.215392
418;-22.9625486;-43.215883
419;-22.8897042;-43.2179688
420;-22.8984255;-43.2112559
421;-22.9642524;-43.2175229
422;-22.9664397;-43.2193917
423;-22.8966708;-43.2132693
424;-22.8962668;-43.212907
425;-22.9885857;-43.2279455
426;-22.9889379;-43.2280261
427;-22.9899195;-43.2277961
428;-22.9886079;-43.2276992
429;-22.990216;-43.2281669
430;-22.910038;-43.2096567
431;-22.9952784;-43.2584879
432;-22.9980973;-43.2663918
433;-22.9992953;-43.2720352
434;-22.9995758;-43.2726739
435;-23.0007251;-43.2738693
436;-22.9999265;-43.2723563
437;-22.9990676;-43.269821
438;-22.9967732;-43.261212
439;-22.9925265;-43.2514009
440;-22.9068102;-43.1957247
441;-22.8167689;-43.3050964
442;-22.8294568;-43.271639
443;-22.8306957;-43.2699912
444;-22.8311984;-43.2692394
445;-22.8393777;-43.2545366
446;-22.8432296;-43.2509849
447;-22.8525691;-43.2478629
448;-22.8638336;-43.2481423
449;-22.8650223;-43.2480845
450;-22.8868907;-43.2336943
451;-23.0109413;-43.301149
452;-23.0089803;-43.3031152
453;-22.8246087;-43.3327456
454;-22.820227;-43.3187096
455;-22.8200787;-43.3128999
456;-22.8168857;-43.3054487
457;-22.8310014;-43.3502153
458;-22.8315778;-43.3519887
459;-23.0063913;-43.3148489
460;-23.0008786;-43.3296933
461;-23.0003959;-43.3352669
462;-23.000306;-43.3857348
463;-23.0059704;-43.4331514
464;-23.0043134;-43.4276941
465;-23.0002818;-43.349025
466;-23.0003064;-43.3466582
467;-23.0020582;-43.3274509
468;-23.0056315;-43.3185737
469;-23.006591;-43.3149174
470;-22.8502018;-43.3842621
471;-22.8494825;-43.383558
472;-22.8392037;-43.3673439
473;-22.8388477;-43.3669748
474;-22.8386318;-43.3669924
475;-22.8437356;-43.3754361
476;-22.8484091;-43.3828291
477;-22.8490592;-43.3834963
478;-22.8367604;-43.3630697
479;-22.8356685;-43.3617477
480;-22.8362377;-43.3634689
481;-22.8377561;-43.3655758
482;-22.8773366;-43.2412095
483;-22.8605679;-43.2476492
484;-22.8550398;-43.2475088
485;-22.8511121;-43.2472342
486;-22.8265147;-43.2747072
487;-22.8196084;-43.283565
488;-22.8279723;-43.3428753
489;-22.8143206;-43.2936318
490;-22.8164217;-43.3054404
491;-22.8198117;-43.3195089
492;-22.8202258;-43.3211437
493;-22.824706;-43.3342918
494;-22.8274866;-43.3418484
495;-22.8286461;-43.345393
496;-22.828821;-43.3455106
497;-22.8300131;-43.3437587
498;-22.8297672;-43.343571
499;-22.8312988;-43.3431684
500;-22.8196461;-43.3174369
501;-22.8171761;-43.3228959
502;-22.8210651;-43.3231218
503;-22.8206226;-43.31579
504;-22.8220066;-43.3188781
505;-22.8216708;-43.3139165
506;-22.8200758;-43.3132179
507;-22.8170313;-43.3229841
508;-22.82186;-43.3180243
509;-22.8193724;-43.3204093
510;-22.8209724;-43.3202582
511;-22.8210198;-43.3207848
512;-22.8207734;-43.3203846
513;-22.821331;-43.3225773
514;-22.8216;-43.3224305
515;-22.8214513;-43.321635
516;-22.8211504;-43.3217053
517;-22.8213222;-43.3220872
518;-22.8213946;-43.3214489
519;-22.8223618;-43.3202988
520;-22.8278679;-43.3195458
521;-22.8219984;-43.3202546
522;-22.8183694;-43.3212296
523;-22.819457;-43.3207284
524;-22.8090741;-43.3376329
525;-22.8155875;-43.3258372
526;-22.8196708;-43.3169058
527;-22.8194639;-43.317727
528;-22.8181239;-43.3206838
529;-22.8076435;-43.3396688
530;-22.8053636;-43.343854
531;-22.8037214;-43.3450021
532;-22.8065424;-43.345879
533;-22.8066722;-43.3440524
534;-22.8048259;-43.3456188
535;-22.8085734;-43.3388392
536;-22.811292;-43.333624
537;-22.8122924;-43.3318075
538;-22.9731785;-43.1856598
539;-22.9719686;-43.1845204
540;-22.9708252;-43.1832237
541;-22.9652455;-43.1734653
542;-22.9653636;-43.1742088
543;-22.9667728;-43.1771719
544;-22.9694754;-43.1817217
545;-22.9700955;-43.1826188
546;-22.9749198;-43.1873136
547;-22.9760496;-43.1880055
548;-22.9773238;-43.1886345
549;-22.9783013;-43.1890435
550;-22.979971;-43.1895773
551;-22.9827327;-43.1898822
552;-22.9845776;-43.1894903
553;-22.9651449;-43.1737293
554;-22.943787;-43.1812763
555;-22.9419375;-43.1778427
556;-22.9443175;-43.1820919
557;-22.9460131;-43.1825539
558;-22.9476812;-43.1824965
559;-22.9482976;-43.1823474
560;-22.9510493;-43.1809822
561;-22.9494834;-43.1784381
562;-22.9515123;-43.1809644
563;-22.9522146;-43.1817358
564;-22.952646;-43.1820174
565;-22.9528321;-43.1961573
566;-22.9543774;-43.1956113
567;-22.9567542;-43.194716
568;-22.9576058;-43.194405
569;-22.9574138;-43.1968504
570;-22.9572068;-43.1961768
571;-22.9559924;-43.1922403
572;-22.9569177;-43.196975
573;-22.9557539;-43.1965701
574;-22.9577354;-43.197914
575;-22.9568018;-43.1985436
576;-22.9567397;-43.1986799
577;-22.953605;-43.1969196
578;-22.95468;-43.196543
579;-22.9541478;-43.194974
580;-22.9550492;-43.1946154
581;-22.9520773;-43.195741
582;-22.9527527;-43.1945082
583;-22.9530669;-43.1953728
584;-22.9554703;-43.1924465
585;-22.9093044;-43.2029173
586;-22.9011168;-43.1791749
587;-22.9067913;-43.1966797
588;-22.9093291;-43.2034028
589;-22.9070993;-43.1965567
590;-22.9072382;-43.1980718
591;-22.9040072;-43.1874308
592;-22.9038389;-43.1863461
593;-22.9063179;-43.1955937
594;-22.9027919;-43.1841223
595;-22.9029867;-43.185231
596;-22.9080703;-43.2010545
597;-22.9084063;-43.2016526
598;-22.9856853;-43.1900807
599;-22.9829705;-43.1908964
600;-22.9817819;-43.1911316
601;-22.9799204;-43.1910481
602;-22.978839;-43.1908374
603;-22.9779489;-43.1906033
604;-22.9769243;-43.1903341
605;-22.9758833;-43.1900286
606;-22.9740168;-43.1889086
607;-22.9725195;-43.1879559
608;-22.968579;-43.1837559
609;-22.9680344;-43.1829077
610;-22.9674254;-43.1819594
611;-22.9671834;-43.1814562
612;-22.9671574;-43.1805762
613;-22.9656995;-43.1777973
614;-22.9651674;-43.1767991
615;-22.9647058;-43.1757657
616;-22.986673;-43.1897884
617;-22.9764229;-43.1924938
618;-22.9757181;-43.192304
619;-22.9742952;-43.1915423
620;-22.9729138;-43.1908224
621;-22.9720798;-43.1900291
622;-22.9713022;-43.1892723
623;-22.9672354;-43.1835746
624;-22.966618;-43.1826281
625;-22.9659956;-43.1816739
626;-22.9657843;-43.1811887
627;-22.9640701;-43.1787466
628;-22.9633831;-43.1776961
629;-22.9621345;-43.1758338
630;-22.9774534;-43.1927734
631;-22.9545774;-43.1669048
632;-22.9548137;-43.1667971
633;-22.9545264;-43.1667561
634;-22.9745016;-43.2262667
635;-22.9749533;-43.2261794
636;-22.9788803;-43.2265997
637;-22.9797962;-43.2266413
638;-22.9815545;-43.2267715
639;-22.9847364;-43.2293861
640;-22.9792455;-43.2263602
641;-22.9862681;-43.2287432
642;-22.9440812;-43.1822047
643;-22.9418829;-43.1822071
644;-22.9453455;-43.1821551
645;-22.939881;-43.1751774
646;-22.941269;-43.1768191
647;-22.9460076;-43.1822643
648;-22.9432387;-43.1810456
649;-22.9421822;-43.179978
650;-22.9647085;-43.1813491
651;-22.9652222;-43.1823791
652;-22.9657457;-43.183409
653;-22.9662397;-43.1843854
654;-22.9666348;-43.1852437
655;-22.9739592;-43.1927289
656;-22.975574;-43.1935538
657;-22.9734559;-43.1898926
658;-22.9745436;-43.1880027
659;-22.971965;-43.1924995
660;-22.9784601;-43.2263255
661;-22.9766497;-43.2190085
662;-22.9275686;-43.176794
663;-22.925718;-43.176593
664;-22.9267749;-43.1765814
665;-22.9859524;-43.1911156
666;-22.9850864;-43.1913849
667;-22.9820983;-43.1922743
668;-22.9869375;-43.1908123
669;-22.9769811;-43.1937999
670;-22.9781514;-43.1897066
671;-22.9763972;-43.193675
672;-22.9761546;-43.1936114
673;-22.9766857;-43.1914396
674;-22.9771438;-43.1894399
675;-22.9622251;-43.1653233
676;-22.962382;-43.1667409
677;-22.9634441;-43.1697819
678;-22.9646137;-43.1725209
679;-22.9697096;-43.1888203
680;-22.9715612;-43.1906869
681;-22.9707145;-43.1899429
682;-22.9752145;-43.1884489
683;-22.9749126;-43.1894923
684;-22.9746064;-43.1905222
685;-22.9754508;-43.1876515
686;-22.9785763;-43.1919191
687;-22.9759637;-43.1889561
688;-22.97595;-43.1891382
689;-22.9757933;-43.1912304
690;-22.9721962;-43.1865848
691;-22.9699197;-43.1839939
692;-22.9710477;-43.1853153
693;-22.9478672;-43.1842171
694;-22.9203625;-43.1938876
695;-22.9108955;-43.1960924
696;-22.9186876;-43.1945997
697;-22.9198993;-43.1943154
698;-22.9616917;-43.2028982
699;-22.9611181;-43.2025218
700;-22.9607644;-43.2026819
701;-22.9673655;-43.2035461
702;-22.9662222;-43.2024529
703;-22.9603493;-43.2034745
704;-22.9604234;-43.2031352
705;-22.9609302;-43.2030667
706;-22.9624175;-43.2030594
707;-22.9634129;-43.2029392
708;-22.9615336;-43.2031033
709;-22.9692167;-43.1832686
710;-22.968828;-43.1807159
711;-23.0203487;-43.4894017
712;-23.0272944;-43.4924827
713;-23.015133;-43.5192898
714;-23.014301;-43.5199147
715;-23.0112661;-43.5189821
716;-23.0109342;-43.5188355
717;-23.0108228;-43.5185004
718;-23.0133995;-43.5386532
719;-23.0099265;-43.5428216
720;-22.9955628;-43.5949034
721;-22.9959264;-43.593984
722;-22.9702383;-43.6302387
723;-22.9689384;-43.6231347
724;-22.9686878;-43.6363607
725;-22.9701303;-43.6312397
726;-22.9642669;-43.6475773
727;-22.9659158;-43.6477837
728;-22.9646793;-43.6472131
729;-22.9709048;-43.6478914
730;-22.9834485;-43.6481607
731;-22.9843894;-43.6498568
732;-22.9864867;-43.6509248
733;-22.9882223;-43.6519474
734;-22.9960382;-43.6501046
735;-22.9975411;-43.6502386
736;-22.9978371;-43.6501734
737;-22.9997422;-43.6437527
738;-22.9390605;-43.6663653
739;-22.936998;-43.666908
740;-22.9397682;-43.6660892
741;-22.9481466;-43.6535073
742;-22.9589202;-43.6501048
743;-22.9595256;-43.6501075
744;-22.9600345;-43.6499632
745;-22.9314155;-43.6727109
746;-22.9159169;-43.6840573
747;-22.9219683;-43.6798127
748;-22.9232659;-43.6793782
749;-22.9258222;-43.6790805
750;-22.9137669;-43.6801614
751;-22.9194596;-43.6889201
752;-22.9162413;-43.6847092
753;-22.9155996;-43.6850039
754;-22.9143485;-43.6861577
755;-22.9029626;-43.682178
756;-22.9106198;-43.6874712
757;-22.9120308;-43.6874375
758;-22.9123125;-43.6875001
759;-22.9123142;-43.686876
760;-22.9122443;-43.6869133
761;-22.9156507;-43.6849823
762;-22.9145717;-43.6867355
763;-22.9153314;-43.6860998
764;-22.910157;-43.6935779
765;-22.9103308;-43.6931939
766;-22.9098332;-43.693764
767;-22.9097361;-43.6942389
768;-22.8927754;-43.6740631
769;-22.8914952;-43.67362
770;-22.8930414;-43.6749605
771;-22.902631;-43.6816674
772;-22.9024857;-43.6818489
773;-22.9021194;-43.6815794
774;-22.9023413;-43.6814826
775;-22.9025099;-43.7194008
776;-22.9030507;-43.7177866
777;-22.9041201;-43.7141562
778;-22.9051995;-43.7104869
779;-22.9068549;-43.7049256
780;-22.9082318;-43.7002985
781;-22.8937026;-43.744529
782;-22.8940566;-43.7435312
783;-22.8942897;-43.7426622
784;-22.8960065;-43.7378935
785;-22.9005341;-43.7248757
786;-22.9653179;-43.222204
787;-22.9664415;-43.2167958
788;-22.9653933;-43.2185567
789;-22.9649112;-43.2196502
790;-22.9638003;-43.2222692
791;-22.9655263;-43.2258207
792;-22.9653161;-43.2276861
793;-22.9661531;-43.2294507
794;-22.9666241;-43.2339585
795;-22.9641442;-43.2227778
796;-22.9065846;-43.1977033
797;-22.906573;-43.1977882
798;-22.9070437;-43.1979258
799;-22.9058053;-43.1978448
800;-22.9063052;-43.1981618
801;-22.9724406;-43.3618726
802;-22.9567287;-43.3565019
803;-22.9507739;-43.3567071
804;-22.9427993;-43.3525523
805;-22.9396144;-43.3503946
806;-22.9354203;-43.3467843
807;-22.8716199;-43.2649541
808;-22.8765348;-43.2759874
809;-22.8781085;-43.2773648
810;-22.8905855;-43.2972372
811;-22.8921664;-43.2991349
812;-22.9069782;-43.3069132
813;-22.9263155;-43.3406715
814;-22.9258173;-43.340113
815;-22.9070293;-43.310425
816;-22.9406648;-43.3515092
817;-22.9592446;-43.3575189
818;-22.9684176;-43.3585404
819;-22.9716601;-43.361818
820;-22.903662;-43.3042428
821;-22.8861272;-43.2919509
822;-22.8792195;-43.2779299
823;-22.8755347;-43.2722157
824;-22.8721815;-43.2506743
825;-22.8717595;-43.2479568
826;-22.871472;-43.2473367
827;-22.8628605;-43.2387143
828;-22.8629548;-43.2386315
829;-22.8637385;-43.2390917
830;-22.8686927;-43.2423116
831;-22.8689918;-43.2425747
832;-22.8682657;-43.2475848
833;-22.8719431;-43.2499458
834;-22.8716076;-43.2485586
835;-22.8724338;-43.2455089
836;-22.8712412;-43.2463899
837;-22.8693392;-43.2434036
838;-22.8692959;-43.2468608
839;-22.8728948;-43.2446395
840;-22.8695366;-43.2435466
841;-22.8718265;-43.2454502
842;-22.8713698;-43.2455233
843;-22.8697516;-43.2455958
844;-22.8706864;-43.2460479
845;-23.010626;-43.365361
846;-23.0101203;-43.3659572
847;-23.0100382;-43.3663969
848;-23.0107121;-43.3674667
849;-23.0008058;-43.3633952
850;-23.0005614;-43.3739269
851;-23.0012951;-43.3683564
852;-23.0025557;-43.3669633
853;-23.0025306;-43.3652563
854;-22.9627338;-43.2118193
855;-22.9623781;-43.2118168
856;-22.9630808;-43.2119483
857;-22.9620682;-43.2114623
858;-22.9627845;-43.2124599
859;-22.9630592;-43.2126168
860;-22.963279;-43.2130191
861;-22.9671101;-43.2181149
862;-22.964208;-43.2161479
863;-22.9639349;-43.2148044
864;-22.9670112;-43.2182783
865;-22.9648725;-43.2169861
866;-22.9646497;-43.2167823
867;-22.9637856;-43.2146529
868;-22.9671816;-43.2182857
869;-22.964912;-43.216763
870;-22.9653717;-43.2161828
871;-22.9652256;-43.2160658
872;-22.9647738;-43.2166586
873;-22.9636152;-43.2169034
874;-22.9647266;-43.2154476
875;-22.9701216;-43.3598211
876;-22.9967766;-43.3656618
877;-22.9993295;-43.3686087
878;-22.994466;-43.3655507
879;-23.005827;-43.3169439
880;-23.0015613;-43.3274294
881;-23.0002362;-43.3601715
882;-23.0002891;-43.3564788
883;-23.0011404;-43.3312281
884;-23.0029982;-43.325448
885;-23.0054462;-43.3194686
